,index,Date,Max Dry Bulb Temperature (F),Min Dry Bulb Temperature (F),Mean Dry Bulb Temperature (F),Total Dry Bulb Temperature (F),Max Wind Speed,Min Wind Speed,Mean Wind Speed,Total Wind Speed,Max Relative Humidity,Min Relative Humidity,Mean Relative Humidity,Total Relative Humidity,Max Snow Depth,Min Snow Depth,Mean Snow Depth,Total Snow Depth,Max Liquid Precipitation Depth,Min Liquid Precipitation Depth,Mean Liquid Precipitation Depth,Total Liquid Precipitation Depth,Max Liquid Precipitation Rate,Min Liquid Precipitation Rate,Mean Liquid Precipitation Rate,Total Liquid Precipitation Rate
28,672,01/29,39.2,39.2,30.882499999999997,741.18,8.2,8.2,3.779166666666667,90.7,73,73,39.458333333333336,947,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,696,01/30,24.62,24.62,21.379999999999995,513.1199999999999,6.7,6.7,5.433333333333333,130.39999999999998,31,31,26.125,627,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,720,01/31,26.96,26.96,19.864999999999995,476.7599999999999,10.3,10.3,4.616666666666666,110.79999999999998,61,61,43.125,1035,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,744,02/01,28.94,28.94,22.1975,532.74,3.6,3.6,2.220833333333333,53.3,82,82,46.083333333333336,1106,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,768,02/02,26.6,26.6,23.149999999999995,555.5999999999999,8.7,8.7,7.1125,170.7,87,87,63.583333333333336,1526,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,792,02/03,28.58,28.58,21.7175,521.22,9.3,9.3,6.295833333333335,151.10000000000005,60,60,45.583333333333336,1094,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,816,02/04,30.92,30.92,25.055000000000003,601.32,5.7,5.7,3.266666666666666,78.39999999999999,56,56,43.083333333333336,1034,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,840,02/05,38.84,38.84,31.9325,766.38,3.6,3.6,2.4499999999999997,58.79999999999999,74,74,58.166666666666664,1396,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,864,02/06,42.26,42.26,35.71999999999999,857.2799999999997,9.3,9.3,3.5833333333333326,85.99999999999999,83,83,72.16666666666667,1732,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,888,02/07,38.12,38.12,34.7975,835.14,7.2,7.2,2.604166666666667,62.50000000000001,94,94,83.91666666666667,2014,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,912,02/08,43.52,43.52,33.62,806.88,4.1,4.1,2.175,52.199999999999996,98,98,73.0,1752,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,936,02/09,49.64,49.64,46.4075,1113.78,5.7,5.7,3.370833333333333,80.89999999999999,92,92,78.16666666666667,1876,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,960,02/10,50.540000000000006,50.540000000000006,49.32499999999999,1183.7999999999997,7.2,7.2,4.866666666666665,116.79999999999997,99,99,90.16666666666667,2164,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,984,02/11,45.14,45.14,42.71000000000001,1025.0400000000002,6.4,6.4,4.641666666666667,111.39999999999999,100,100,94.70833333333333,2273,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1008,02/12,39.56,39.56,34.9475,838.7399999999999,6.7,6.7,4.054166666666666,97.29999999999998,79,79,62.541666666666664,1501,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1032,02/13,37.22,37.22,33.5825,805.98,7.2,7.2,2.8833333333333333,69.2,93,93,76.625,1839,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1056,02/14,35.6,35.6,27.34249999999999,656.2199999999998,7.7,7.7,6.512499999999999,156.29999999999998,91,91,58.083333333333336,1394,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1080,02/15,33.26,33.26,23.367499999999996,560.8199999999999,6.2,6.2,4.154166666666667,99.7,59,59,43.125,1035,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,1104,02/16,33.44,33.44,27.717499999999998,665.2199999999999,5.3,5.3,3.8124999999999987,91.49999999999997,65,65,54.166666666666664,1300,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1128,02/17,40.46,40.46,34.0775,817.86,5.7,5.7,3.558333333333334,85.40000000000002,72,72,60.875,1461,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,1152,02/18,41.36,41.36,33.762499999999996,810.2999999999998,7.2,7.2,5.404166666666668,129.70000000000002,85,85,64.75,1554,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1176,02/19,39.2,39.2,31.535000000000007,756.8400000000001,4.6,4.6,2.870833333333333,68.89999999999999,90,90,65.41666666666667,1570,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,1200,02/20,37.4,37.4,31.64,759.36,3.6,3.6,2.5625000000000004,61.50000000000001,89,89,60.458333333333336,1451,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,1224,02/21,34.7,34.7,30.95,742.8,5.7,5.7,2.6208333333333336,62.900000000000006,83,83,64.66666666666667,1552,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1248,02/22,39.74,39.74,34.76,834.2399999999999,5.1,5.1,3.008333333333333,72.19999999999999,93,93,69.25,1662,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,1272,02/23,43.879999999999995,43.879999999999995,38.795,931.08,6.2,6.2,4.4,105.60000000000001,93,93,77.79166666666667,1867,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,1296,02/24,36.14,36.14,29.24,701.76,15.4,15.4,9.516666666666666,228.39999999999998,65,65,44.083333333333336,1058,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,1320,02/25,28.22,28.22,23.307500000000005,559.3800000000001,12.2,12.2,8.708333333333334,209.0,57,57,40.666666666666664,976,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1344,02/26,29.3,29.3,24.095000000000002,578.2800000000001,8.7,8.7,7.658333333333332,183.79999999999998,55,55,38.0,912,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,1368,02/27,26.24,26.24,22.3625,536.7,11.3,11.3,8.587499999999999,206.09999999999997,51,51,41.041666666666664,985,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,1392,02/28,38.66,38.66,30.837500000000002,740.1,10.8,10.8,6.095833333333334,146.3,72,72,56.625,1359,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,1416,03/01,30.2,30.2,26.750000000000004,642.0000000000001,7.7,7.7,6.4375,154.5,50,50,39.625,951,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,1440,03/02,37.58,37.58,31.804999999999996,763.3199999999999,6.7,6.7,4.408333333333334,105.80000000000001,75,75,53.083333333333336,1274,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,1464,03/03,44.78,44.78,38.3975,921.54,6.2,6.2,4.758333333333332,114.19999999999997,91,91,79.33333333333333,1904,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,1488,03/04,43.7,43.7,39.589999999999996,950.16,5.1,5.1,3.5166666666666653,84.39999999999996,93,93,59.375,1425,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,1512,03/05,49.64,49.64,42.695000000000014,1024.6800000000003,9.3,9.3,5.474999999999999,131.39999999999998,91,91,72.66666666666667,1744,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,1536,03/06,45.86,45.86,42.665,1023.96,5.1,5.1,3.1374999999999993,75.29999999999998,91,91,81.08333333333333,1946,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,1560,03/07,42.620000000000005,42.620000000000005,37.9325,910.38,4.9,4.9,3.3041666666666667,79.3,92,92,70.5,1692,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,1584,03/08,45.32,45.32,37.7825,906.78,3.6,3.6,2.629166666666667,63.10000000000001,90,90,74.375,1785,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,1608,03/09,41.72,41.72,36.5075,876.1800000000001,6.2,6.2,3.241666666666666,77.79999999999998,94,94,74.45833333333333,1787,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,1632,03/10,44.96,44.96,39.800000000000004,955.2,5.1,5.1,3.4625,83.1,92,92,81.04166666666667,1945,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,1656,03/11,46.4,46.4,35.195,844.6800000000001,4.6,4.6,1.7041666666666668,40.900000000000006,94,94,73.45833333333333,1763,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,1680,03/12,50.0,50.0,40.550000000000004,973.2,6.7,6.7,3.320833333333334,79.70000000000002,92,92,59.458333333333336,1427,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,1704,03/13,48.2,48.2,40.595,974.28,3.6,3.6,2.516666666666667,60.400000000000006,86,86,60.416666666666664,1450,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,1728,03/14,47.84,47.84,42.8825,1029.18,7.7,7.7,1.8875000000000002,45.300000000000004,83,83,63.541666666666664,1525,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,1752,03/15,56.3,56.3,47.277499999999996,1134.6599999999999,6.7,6.7,5.304166666666666,127.3,78,78,50.875,1221,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,1776,03/16,45.86,45.86,41.24,989.7600000000001,5.7,5.7,3.2291666666666665,77.5,80,80,49.958333333333336,1199,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,1800,03/17,45.68,45.68,39.5375,948.9000000000001,4.6,4.6,3.5375,84.9,80,80,37.291666666666664,895,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,1824,03/18,46.58,46.58,39.927499999999995,958.2599999999999,4.6,4.6,3.116666666666666,74.79999999999998,86,86,60.041666666666664,1441,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,1848,03/19,45.5,45.5,39.30499999999999,943.3199999999998,6.2,6.2,2.775,66.6,92,92,66.70833333333333,1601,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,1872,03/20,47.120000000000005,47.120000000000005,39.5225,948.54,4.1,4.1,2.208333333333333,52.99999999999999,95,95,67.0,1608,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,1896,03/21,48.379999999999995,48.379999999999995,41.1575,987.78,3.6,3.6,2.8750000000000004,69.00000000000001,93,93,60.083333333333336,1442,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,1920,03/22,50.0,50.0,42.9275,1030.26,4.6,4.6,2.6666666666666665,64.0,91,91,75.875,1821,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,1944,03/23,50.900000000000006,50.900000000000006,44.3825,1065.18,4.6,4.6,2.566666666666667,61.6,93,93,68.25,1638,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,1968,03/24,42.8,42.8,41.57000000000001,997.6800000000002,4.1,4.1,2.3541666666666665,56.49999999999999,94,94,75.79166666666667,1819,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,1992,03/25,46.58,46.58,42.762499999999996,1026.3,5.7,5.7,3.6541666666666663,87.69999999999999,93,93,86.25,2070,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,2016,03/26,53.42,53.42,42.364999999999995,1016.7599999999999,2.6,2.6,1.7708333333333337,42.50000000000001,96,96,86.79166666666667,2083,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2040,03/27,54.86,54.86,44.195,1060.68,3.1,3.1,1.6625000000000003,39.900000000000006,93,93,71.25,1710,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,2064,03/28,54.68,54.68,46.849999999999994,1124.3999999999999,6.7,6.7,4.570833333333334,109.7,73,73,51.708333333333336,1241,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,2088,03/29,50.900000000000006,50.900000000000006,43.13750000000001,1035.3000000000002,6.7,6.7,3.1666666666666665,76.0,83,83,48.833333333333336,1172,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2112,03/30,50.540000000000006,50.540000000000006,45.79999999999999,1099.1999999999998,4.6,4.6,3.3708333333333336,80.9,74,74,54.666666666666664,1312,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2136,03/31,48.379999999999995,48.379999999999995,45.3125,1087.5,6.7,6.7,3.854166666666666,92.49999999999999,95,95,86.41666666666667,2074,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2160,04/01,56.120000000000005,56.120000000000005,49.89500000000001,1197.4800000000002,5.7,5.7,3.816666666666666,91.59999999999998,84,84,74.125,1779,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,2184,04/02,55.400000000000006,55.400000000000006,48.86750000000001,1172.8200000000002,6.2,6.2,3.1791666666666667,76.3,86,86,78.33333333333333,1880,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2208,04/03,63.5,63.5,53.42749999999999,1282.2599999999998,4.1,4.1,2.1791666666666667,52.300000000000004,86,86,62.125,1491,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,2232,04/04,66.74000000000001,66.74000000000001,55.94749999999999,1342.7399999999998,6.7,6.7,2.8958333333333335,69.5,82,82,55.541666666666664,1333,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,2256,04/05,59.72,59.72,53.0075,1272.18,5.7,5.7,3.341666666666667,80.2,86,86,72.41666666666667,1738,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,2280,04/06,62.78,62.78,52.1675,1252.02,5.1,5.1,2.6666666666666665,64.0,86,86,72.83333333333333,1748,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,2304,04/07,67.1,67.1,54.837500000000006,1316.1000000000001,6.7,6.7,3.9666666666666663,95.19999999999999,81,81,66.54166666666667,1597,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2328,04/08,55.22,55.22,52.08500000000001,1250.0400000000002,3.6,3.6,2.704166666666667,64.9,86,86,79.33333333333333,1904,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,2352,04/09,72.68,72.68,59.855,1436.52,6.7,6.7,3.1166666666666667,74.8,88,88,53.666666666666664,1288,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,2376,04/10,55.76,55.76,47.285000000000004,1134.8400000000001,8.7,8.7,5.6166666666666645,134.79999999999995,87,87,85.66666666666667,2056,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2400,04/11,50.900000000000006,50.900000000000006,43.714999999999996,1049.1599999999999,7.2,7.2,4.691666666666667,112.60000000000001,86,86,76.20833333333333,1829,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2424,04/12,47.84,47.84,42.85249999999999,1028.4599999999998,6.2,6.2,3.741666666666666,89.79999999999998,80,80,63.375,1521,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,2448,04/13,50.72,50.72,45.237500000000004,1085.7,6.2,6.2,3.0625,73.5,86,86,79.04166666666667,1897,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,2472,04/14,51.8,51.8,46.820000000000014,1123.6800000000003,5.7,5.7,3.2791666666666663,78.69999999999999,86,86,75.16666666666667,1804,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,2496,04/15,46.04,46.04,42.1025,1010.46,6.2,6.2,4.108333333333333,98.60000000000001,85,85,82.0,1968,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,2520,04/16,52.34,52.34,45.8975,1101.54,6.7,6.7,3.5624999999999996,85.49999999999999,85,85,76.75,1842,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,2544,04/17,60.980000000000004,60.980000000000004,52.22750000000001,1253.4600000000003,9.8,9.8,7.104166666666667,170.5,84,84,68.33333333333333,1640,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,2568,04/18,54.5,54.5,50.435,1210.44,9.3,9.3,5.470833333333334,131.3,85,85,82.91666666666667,1990,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,2592,04/19,54.14,54.14,48.36500000000001,1160.7600000000002,8.2,8.2,5.029166666666667,120.7,89,89,73.79166666666667,1771,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,2616,04/20,64.58000000000001,64.58000000000001,54.77000000000001,1314.4800000000002,6.7,6.7,3.9,93.6,87,87,53.625,1287,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2640,04/21,60.08,60.08,54.574999999999996,1309.8,5.8,5.8,4.179166666666666,100.3,87,87,59.583333333333336,1430,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,2664,04/22,61.519999999999996,61.519999999999996,51.650000000000006,1239.6000000000001,7.7,7.7,3.654166666666667,87.7,87,87,71.16666666666667,1708,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,2688,04/23,64.03999999999999,64.03999999999999,56.435,1354.44,9.3,9.3,7.087499999999999,170.09999999999997,78,78,60.875,1461,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,2712,04/24,61.7,61.7,55.025,1320.6,9.3,9.3,5.854166666666665,140.49999999999997,85,85,61.333333333333336,1472,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,2736,04/25,60.980000000000004,60.980000000000004,52.984999999999985,1271.6399999999996,7.7,7.7,3.5291666666666655,84.69999999999997,83,83,66.29166666666667,1591,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,2760,04/26,62.24,62.24,54.04250000000002,1297.0200000000004,3.6,3.6,2.4625,59.099999999999994,83,83,48.791666666666664,1171,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,2784,04/27,62.78,62.78,54.38,1305.1200000000001,4.6,4.6,2.820833333333333,67.69999999999999,82,82,55.541666666666664,1333,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,2808,04/28,56.120000000000005,56.120000000000005,52.82750000000001,1267.8600000000001,5.7,5.7,2.829166666666667,67.9,86,86,80.29166666666667,1927,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,2832,04/29,69.98,69.98,59.0975,1418.34,3.6,3.6,2.4458333333333337,58.70000000000001,85,85,72.83333333333333,1748,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,2856,04/30,60.980000000000004,60.980000000000004,54.79249999999999,1315.0199999999998,6.2,6.2,2.8375,68.1,85,85,80.16666666666667,1924,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,2880,05/01,64.94,64.94,56.6825,1360.3799999999999,3.1,3.1,1.2041666666666668,28.900000000000002,74,74,48.958333333333336,1175,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,2904,05/02,69.44,69.44,60.5375,1452.9,3.1,3.1,1.5708333333333335,37.7,68,68,44.541666666666664,1069,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,2928,05/03,73.75999999999999,73.75999999999999,65.02250000000001,1560.5400000000002,4.1,4.1,2.341666666666667,56.2,79,79,69.25,1662,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,2952,05/04,62.06,62.06,58.06249999999999,1393.4999999999998,6.2,6.2,3.9791666666666656,95.49999999999997,92,92,86.54166666666667,2077,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
